Time,Unit1,Unit2,Unit3,Unit 4,Unit5,Unit6,Unit7,Unit8,Unit9,Unit10,Unit11,Unit12,Unit13,Unit14,Unit15,Unit16
1.23,2,2,0,0,8,0,0,0,1,0,0,1,0,0,0,0
1.24,3,2,0,0,4,0,0,0,1,0,0,0,0,1,0,0
1.25,2,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0
1.26,2,0,1,0,3,0,1,0,0,1,1,0,0,1,0,0
1.27,4,1,0,0,5,2,1,0,0,0,0,1,1,1,2,0
1.28,1,1,1,0,1,2,0,0,0,0,2,0,0,3,1,0
1.29,7,0,0,0,2,1,1,0,0,0,0,1,0,2,0,1
1.3,4,0,2,0,2,2,0,0,0,0,2,1,0,4,0,1
1.31,1,1,0,1,5,2,1,0,0,0,1,0,2,2,0,0
1.32,3,2,1,0,2,1,0,0,0,2,1,0,0,0,0,0
1.33,4,0,0,0,4,1,1,0,0,0,1,0,1,1,0,1
1.34,2,0,2,0,7,1,0,0,1,0,0,0,0,0,0,0
1.35,4,2,0,1,7,2,1,0,0,1,2,1,0,0,0,0
1.36,2,0,0,1,2,0,1,0,0,1,3,0,0,0,0,1
1.37,3,0,1,0,1,2,0,0,1,1,1,0,2,1,0,0
1.38,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2
1.39,4,0,0,0,1,0,0,0,2,1,0,1,0,0,2,2
1.4,4,1,0,0,1,1,0,0,0,0,1,1,0,3,0,0
1.41,5,0,1,1,2,1,1,0,1,0,1,0,1,1,2,0
1.42,0,0,0,1,3,3,0,0,0,0,1,1,1,2,2,0
1.43,3,0,0,1,2,4,1,0,1,0,1,0,1,4,1,2
1.44,2,3,0,1,2,2,0,0,0,0,3,0,0,1,0,0
1.45,6,3,2,0,2,5,0,0,2,0,0,1,1,0,2,0
1.46,4,1,0,1,1,1,0,1,0,1,1,0,2,5,0,1
1.47,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2
1.48,3,0,0,1,2,1,0,0,1,0,1,1,0,3,2,2
1.49,2,0,0,0,5,0,1,2,0,1,2,0,0,1,1,1
1.5,3,0,0,0,2,2,0,1,0,0,1,0,0,3,0,1
1.51,2,1,0,0,4,1,0,0,1,0,0,1,0,3,1,1
1.52,4,2,0,0,3,1,0,0,0,0,2,0,1,3,2,0
1.53,4,0,0,0,2,0,0,0,1,0,2,1,0,2,1,0
1.54,3,1,0,0,5,1,0,1,1,0,0,1,0,1,0,3
1.55,4,1,0,1,2,2,1,0,1,0,1,0,0,4,0,1
1.56,3,1,1,1,5,3,0,1,2,0,0,1,1,2,0,0
1.57,2,0,1,0,5,3,0,1,1,1,1,2,2,2,2,1
1.58,2,0,0,0,3,2,0,1,2,0,1,1,1,4,0,0
1.59,2,0,0,0,4,0,0,2,0,0,0,1,2,1,0,1
1.6,3,0,0,0,2,1,0,1,0,0,1,0,2,1,0,0
1.61,6,2,1,0,2,0,0,0,0,1,2,1,2,2,1,1
1.62,1,0,1,0,3,2,2,0,0,1,0,0,0,2,0,0
1.63,2,2,1,0,2,0,1,0,1,3,0,1,1,1,1,0
1.64,1,1,0,0,1,0,3,0,0,2,2,1,1,2,1,0
1.65,3,0,0,0,1,0,0,0,1,0,2,0,2,3,1,0
1.66,1,1,0,0,0,1,1,2,0,0,1,3,1,2,2,3
1.67,1,1,0,0,2,0,0,0,1,0,0,1,0,0,1,1
1.68,0,1,0,0,3,2,0,1,0,0,4,2,1,2,2,2
1.69,2,1,0,0,1,1,0,0,0,2,2,1,0,3,3,1
1.7,0,0,0,1,3,1,0,0,0,2,1,1,0,3,0,0
1.71,2,0,0,0,4,0,0,0,0,1,3,0,0,2,0,0
1.72,3,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0
1.73,3,1,0,0,3,1,0,0,0,0,0,0,0,3,1,0
1.74,3,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0
1.75,1,2,0,0,2,1,0,0,1,2,0,0,0,1,0,1
1.76,1,0,0,1,1,1,0,0,0,1,3,2,1,1,0,0
1.77,3,0,0,2,1,2,0,0,1,0,0,1,0,3,0,0
1.78,3,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1
1.79,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
1.8,3,0,0,0,1,0,0,1,0,1,0,0,1,3,1,1
1.81,4,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0
1.82,5,0,0,0,3,0,0,1,1,1,3,0,2,4,0,1
1.83,4,0,0,2,3,1,0,0,0,0,0,1,0,2,2,0
1.84,5,0,0,0,2,1,0,0,0,0,1,1,0,3,1,2
1.85,4,0,0,0,2,3,0,0,1,0,0,1,1,4,0,1
1.86,2,0,0,1,3,0,0,0,1,0,1,1,1,2,0,1
1.87,4,0,0,0,6,0,0,0,1,1,1,0,0,2,0,1
1.88,1,0,0,2,4,3,0,0,1,1,1,0,1,0,0,2
1.89,2,0,1,0,3,2,0,0,0,0,3,1,0,0,0,1
1.9,2,2,0,0,3,0,0,1,2,1,2,1,1,2,0,1
1.91,2,2,0,1,4,3,0,0,0,1,2,0,0,4,0,1
1.92,3,2,1,0,3,0,0,0,1,1,0,0,0,3,1,2
1.93,3,1,0,0,0,1,0,1,0,1,0,0,2,1,2,1
1.94,2,0,0,0,2,2,1,1,0,2,1,0,0,0,1,0
1.95,3,1,0,2,2,0,0,0,0,1,0,0,2,3,0,0
1.96,2,1,1,0,2,0,1,1,1,0,0,0,0,2,0,0
1.97,6,2,0,1,4,0,0,0,1,0,1,1,0,0,0,2
1.98,2,1,0,0,7,3,0,0,1,1,1,0,1,0,1,0
1.99,5,0,0,0,2,2,0,0,0,1,0,0,0,1,2,1
